level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,2
row,gallop_a,half_bound_front_b,2
row,gallop_a,half_bound_hind_a,1
row,gallop_a,unclassified,1
row,gallop_b,gallop_b,6
row,gallop_c,bound,5
row,gallop_c,unclassified,1
row,gallop_d,gallop_d,4
row,gallop_d,unclassified,2
row,half_bound_front_a,bound,5
row,half_bound_front_a,unclassified,1
row,half_bound_front_b,bound,3
row,half_bound_front_b,half_bound_front_b,3
row,half_bound_hind_a,bound,4
row,half_bound_hind_a,half_bound_hind_a,1
row,half_bound_hind_a,unclassified,1
row,half_bound_hind_b,bound,6
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,7
family,gallop,gallop,10
family,gallop,half_bound,3
family,gallop,unclassified,4
family,half_bound,bound,18
family,half_bound,half_bound,4
family,half_bound,unclassified,2
family,trot,trot,6
