level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,3
row,gallop_a,half_bound_front_b,2
row,gallop_a,unclassified,1
row,gallop_b,bound,2
row,gallop_b,trot,4
row,gallop_c,bound,1
row,gallop_c,half_bound_hind_b,4
row,gallop_c,unclassified,1
row,gallop_d,gallop_d,6
row,half_bound_front_a,bound,5
row,half_bound_front_a,trot,1
row,half_bound_front_b,bound,2
row,half_bound_front_b,half_bound_front_b,2
row,half_bound_front_b,unclassified,2
row,half_bound_hind_a,bound,5
row,half_bound_hind_a,unclassified,1
row,half_bound_hind_b,bound,1
row,half_bound_hind_b,half_bound_hind_b,2
row,half_bound_hind_b,unclassified,3
row,trot,trot,5
row,trot,unclassified,1
family,bound,bound,6
family,gallop,bound,6
family,gallop,gallop,6
family,gallop,half_bound,6
family,gallop,trot,4
family,gallop,unclassified,2
family,half_bound,bound,13
family,half_bound,half_bound,4
family,half_bound,trot,1
family,half_bound,unclassified,6
family,trot,trot,5
family,trot,unclassified,1
