level,planned_label,classified_label,count
row,bound,bound,5
row,bound,unclassified,1
row,gallop_a,bound,4
row,gallop_a,half_bound_hind_a,2
row,gallop_b,gallop_b,4
row,gallop_b,unclassified,2
row,gallop_c,bound,2
row,gallop_c,half_bound_front_a,3
row,gallop_c,unclassified,1
row,gallop_d,gallop_d,5
row,gallop_d,unclassified,1
row,half_bound_front_a,bound,3
row,half_bound_front_a,half_bound_front_a,1
row,half_bound_front_a,unclassified,2
row,half_bound_front_b,bound,5
row,half_bound_front_b,unclassified,1
row,half_bound_hind_a,bound,3
row,half_bound_hind_a,half_bound_hind_a,2
row,half_bound_hind_a,unclassified,1
row,half_bound_hind_b,bound,5
row,half_bound_hind_b,half_bound_hind_b,1
row,trot,trot,6
family,bound,bound,5
family,bound,unclassified,1
family,gallop,bound,6
family,gallop,gallop,9
family,gallop,half_bound,5
family,gallop,unclassified,4
family,half_bound,bound,16
family,half_bound,half_bound,4
family,half_bound,unclassified,4
family,trot,trot,6
